time,P_l
2016-06-12 17:35:00+0000,22694.612
2016-06-12 17:40:00+0000,21274.83
2016-06-12 17:45:00+0000,21788.006
2016-06-12 17:50:00+0000,21260.753
2016-06-12 17:55:00+0000,21728.355
2016-06-12 18:00:00+0000,21231.12
2016-06-12 18:05:00+0000,22406.277
2016-06-12 18:10:00+0000,22735.315
2016-06-12 18:15:00+0000,23305.186
2016-06-12 18:20:00+0000,23323.806
2016-06-12 18:25:00+0000,21708.164
2016-06-12 18:30:00+0000,21471.672
2016-06-12 18:35:00+0000,24721.688
2016-06-12 18:40:00+0000,27255.832
2016-06-12 18:45:00+0000,26582.021
2016-06-12 18:50:00+0000,23839.599
2016-06-12 18:55:00+0000,24921.08
2016-06-12 19:00:00+0000,24586.943
2016-06-12 19:05:00+0000,25551.713
2016-06-12 19:10:00+0000,25456.17
2016-06-12 19:15:00+0000,24812.926
2016-06-12 19:20:00+0000,25793.81
2016-06-12 19:25:00+0000,25088.21
2016-06-12 19:30:00+0000,25424.31
2016-06-12 19:35:00+0000,24576.31
2016-06-12 19:40:00+0000,25400.68
2016-06-12 19:45:00+0000,35046.5
2016-06-12 19:50:00+0000,31113.87
2016-06-12 19:55:00+0000,30855.41
2016-06-12 20:00:00+0000,28954.2
2016-06-12 20:05:00+0000,28995.77
2016-06-12 20:10:00+0000,30660.27
2016-06-12 20:15:00+0000,29115.39
2016-06-12 20:20:00+0000,30091.08
2016-06-12 20:25:00+0000,31996.57
2016-06-12 20:30:00+0000,31790.22
2016-06-12 20:35:00+0000,33570.133
2016-06-12 20:40:00+0000,34085.81
2016-06-12 20:45:00+0000,30335.106
2016-06-12 20:50:00+0000,30652.187
2016-06-12 20:55:00+0000,30808.449
2016-06-12 21:00:00+0000,29295.623
2016-06-12 21:05:00+0000,32466.1
2016-06-12 21:10:00+0000,30663.8
2016-06-12 21:15:00+0000,31242.5
2016-06-12 21:20:00+0000,30733.4
2016-06-12 21:25:00+0000,31167.4
2016-06-12 21:30:00+0000,29814.9
2016-06-12 21:35:00+0000,30535.6
2016-06-12 21:40:00+0000,29665.9
2016-06-12 21:45:00+0000,30524.0
2016-06-12 21:50:00+0000,28613.9
2016-06-12 21:55:00+0000,29910.3
2016-06-12 22:00:00+0000,29366.8
2016-06-12 22:05:00+0000,31228.3
2016-06-12 22:10:00+0000,31664.4
2016-06-12 22:15:00+0000,27320.9
2016-06-12 22:20:00+0000,23729.1
2016-06-12 22:25:00+0000,24081.1
2016-06-12 22:30:00+0000,24383.2
2016-06-12 22:35:00+0000,24140.8
2016-06-12 22:40:00+0000,23298.3
2016-06-12 22:45:00+0000,23565.3
2016-06-12 22:50:00+0000,23349.7
2016-06-12 22:55:00+0000,23742.9
2016-06-12 23:00:00+0000,23394.9
2016-06-12 23:05:00+0000,23894.9
2016-06-12 23:10:00+0000,24094.3
2016-06-12 23:15:00+0000,25260.3
2016-06-12 23:20:00+0000,24330.5
2016-06-12 23:25:00+0000,23069.0
2016-06-12 23:30:00+0000,25881.2
2016-06-12 23:35:00+0000,25222.5
2016-06-12 23:40:00+0000,24902.9
2016-06-12 23:45:00+0000,25951.4
2016-06-12 23:50:00+0000,24050.0
2016-06-12 23:55:00+0000,25620.2
2016-06-13 00:00:00+0000,23607.2
2016-06-13 00:05:00+0000,24054.5
